approach,model_type,rmse,mae,r2,mape,accuracy_(1-MAPE%),within_10_pct
Original + AutoML features,H2OStackedEnsembleEstimator,0.42919949176658373,0.279072704971111,0.8604926666787316,14.991027839022223,85.00897216097778,48.693937900443565
Original + Manual features,H2OStackedEnsembleEstimator,0.43257842920997064,0.27911745344168687,0.8582874353493845,15.089917274948855,84.91008272505114,48.34894036471168
Original + Featuretools features,H2OStackedEnsembleEstimator,0.43506662754828596,0.28022858760093217,0.8566524806205529,15.003888229232901,84.9961117707671,48.620009857072446
