approach,model_type,rmse,mae,r2,mape,accuracy_(1-MAPE%),within_10_pct
Original + AutoML features,H2OStackedEnsembleEstimator,0.42805999563342717,0.2776807914442875,0.8612324487385171,14.877650307009983,85.12234969299001,49.50714637752587
Original + Manual features,H2OStackedEnsembleEstimator,0.4303433229696653,0.27760763832081464,0.8597480922908608,15.099177878418732,84.90082212158127,48.39822572695909
Original + Featuretools features,H2OStackedEnsembleEstimator,0.4360233960576194,0.2811375175454751,0.8560213074181994,15.233567720964942,84.76643227903506,48.34894036471168
